[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
חמת,H2534,HNcfsc,Noun common feminine singular construct,heat
חמת,H2534,HNcfpa,Noun common feminine plural absolute,heat
חמת,H2535,HNcfsc,Noun common feminine singular construct,hotness
חמת,H2545,HNcfsc,Noun common feminine singular construct,mother-in-law
חמת,H2573,HNcfsc,Noun common feminine singular construct,flask
חמת,H2573,HNcfsa,Noun common feminine singular absolute,flask
חמת,H2574,HNp,Noun proper name,Hamath
חמת,H2575,HNp,Noun proper name,Hammath
חמת,H2576,HNp,Noun proper name,Hamath-Dor
חמת,H2578,HNp,Noun proper name,Hamath-Zobah
חמת,H2579,HNp,Noun proper name,Hamath the great
חמתי,H2346,HNcfpc,Noun common feminine plural construct,bulwark
חמתי,H2577,HNgmsa,Noun gentilic masculine singular absolute,Hamathite
חמתים,H2346,HNcfda,Noun common feminine dual absolute,bulwark
חן,H2580,HNcmsa,Noun common masculine singular absolute,grace
חן,H2580,HNcmsc,Noun common masculine singular construct,grace
חנ,H2580,HNcmsc,Noun common masculine singular construct,grace
חן,H2581,HNp,Noun proper name,Hen
חנ,H2583,HVqrmsc,Verb qal participle active masculine singular construct,camp
חנ,H2603,HVqp3ms,Verb qal perfect third person masculine singular,be made graced
חנ,H2603,HVqv2mp,Verb qal imperative second person masculine plural,be made graced
חנ,H2603,HVqv2ms,Verb qal imperative second person masculine singular,be made graced
חנדד,H2582,HNp,Noun proper name,Henadad
חנה,H2583,HVqrmsa,Verb qal participle active masculine singular absolute,camp
חנה,H2583,HVqp3ms,Verb qal perfect third person masculine singular,camp
חנה,H2583,HVqv2ms,Verb qal imperative second person masculine singular,camp
חנה,H2583,HVqrfsa,Verb qal participle active feminine singular absolute,camp
חנה,H2584,HNp,Noun proper name,Hannah
חנו,H2583,HVqq3cp,Verb qal sequential perfect third person common plural,camp
חנו,H2583,HVqp3cp,Verb qal perfect third person common plural,camp
חנו,H2583,HVqv2mp,Verb qal imperative second person masculine plural,camp
חנו,H2603,HVqv2mp,Verb qal imperative second person masculine plural,be made graced
חנוך,H2585,HNp,Noun proper name,Enoch
חנון,H2586,HNp,Noun proper name,Hanun
חנון,H2587,HAamsa,Adjective adjective masculine singular absolute,gracious
חנון,H2603,HVqa,Verb qal infinitive absolute,be made graced
חנוף,H2610,HVqa,Verb qal infinitive absolute,be profane
חנות,H2583,HVqc,Verb qal infinitive construct,camp
חנות,H2589,HVpc,Verb piel infinitive construct,be gracious
חנט,H2590,HVqc,Verb qal infinitive construct,infusings
חנטה,H2590,HVqp3fs,Verb qal perfect third person feminine singular,infusings
חנטים,H2590,HNcmpa,Noun common masculine plural absolute,infusings
חנטין,H2591,ANcfpa,Noun common feminine plural absolute,wheat
חניאל,H2592,HNp,Noun proper name,Hanniel
חניות,H2588,HNcfpa,Noun common feminine plural absolute,cabin
חניכי,H2593,HNcmpc,Noun common masculine plural construct,commissioned
חנים,H2583,HVqrmpa,Verb qal participle active masculine plural absolute,camp
חנינה,H2594,HNcfsa,Noun common feminine singular absolute,favour
חנית,H2595,HNcfsa,Noun common feminine singular absolute,javelin
חנית,H2595,HNcfsc,Noun common feminine singular construct,javelin
חניתותי,H2595,HNcfpc,Noun common feminine plural construct,javelin
חניתי,H2583,HVqq1cs,Verb qal sequential perfect first person common singular,camp
חניתי,H2583,HVqp1cs,Verb qal perfect first person common singular,camp
חניתים,H2595,HNcfpa,Noun common feminine plural absolute,javelin
חניתתי,H2595,HNcfpc,Noun common feminine plural construct,javelin
חנך,H2585,HNp,Noun proper name,Enoch
חנך,H2596,HVqv2ms,Verb qal imperative second person masculine singular,commission
חנכ,H2596,HVqp3ms,Verb qal perfect third person masculine singular,commission
חנכה,H2598,HNcfsa,Noun common feminine singular absolute,commissioning
חנכי,H2599,HNgmsa,Noun gentilic masculine singular absolute,Hanochites
חנכת,H2597,ANcfsc,Noun common feminine singular construct,dedication
חנכת,H2598,HNcfsc,Noun common feminine singular construct,commissioning
חנם,H2600,HD,Adverb,graciously
חנמאל,H2601,HNp,Noun proper name,Hanameel
חנמל,H2602,HNcmsa,Noun common masculine singular absolute,frost
חנן,H1135,HNp,Noun proper name,Ben-hanan
חנן,H1177,HNp,Noun proper name,Baal-hanan
חנן,H2603,HVqp3ms,Verb qal perfect third person masculine singular,be made graced
חנן,H2603,HVqrmsa,Verb qal participle active masculine singular absolute,be made graced
חננ,H2603,HVqv2ms,Verb qal imperative second person masculine singular,be made graced
חננ,H2603,HVqc,Verb qal infinitive construct,be made graced
חנן,H2605,HNp,Noun proper name,Canan
חנן,H358,HNp,Noun proper name,Elon-bethhanan
חננאל,H2606,HNp,Noun proper name,Hananeel
חננו,H2603,HVqp3cp,Verb qal perfect third person common plural,be made graced
חנני,H2607,HNp,Noun proper name,Hanani
חנניה,H2608,HNp,Noun proper name,Hananiah
חנניה,H2608,ANp,Noun proper name,Hananiah
חנניהו,H2608,HNp,Noun proper name,Hananiah
חנס,H2609,HNp,Noun proper name,Hanes
חנף,H2611,HAamsa,Adjective adjective masculine singular absolute,profane
חנף,H2612,HNcmsa,Noun common masculine singular absolute,profanity
חנפה,H2610,HVqp3fs,Verb qal perfect third person feminine singular,be profane
חנפה,H2613,HNcfsa,Noun common feminine singular absolute,profanity
חנפו,H2610,HVqp3cp,Verb qal perfect third person common plural,be profane
חנפי,H2611,HAampc,Adjective adjective masculine plural construct,profane
חנפים,H2611,HAampa,Adjective adjective masculine plural absolute,profane
חנת,H2583,HVqc,Verb qal infinitive construct,camp
חנתי,H2603,HVqq1cs,Verb qal sequential perfect first person common singular,be made graced
חנתי,H2603,HVqp1cs,Verb qal perfect first person common singular,be made graced
חנתן,H2615,HNp,Noun proper name,Hannathon
חסד,H1136,HNp,Noun proper name,the son of Hesed
חסד,H2617,HNcmsc,Noun common masculine singular construct,mercilessness
חסד,H2617,HNcmsa,Noun common masculine singular absolute,mercilessness
חסד,H2617,HNcmpc,Noun common masculine plural construct,mercilessness
חסד,H3142,HNp,Noun proper name,Jushab-hesed
חסדי,H2617,HNcmpc,Noun common masculine plural construct,mercilessness
חסדיה,H2619,HNp,Noun proper name,Hasadiah
חסדים,H2617,HNcmpa,Noun common masculine plural absolute,mercilessness
חסה,H2347,HVqp3fs,Verb qal perfect third person feminine singular,respect
חסה,H2620,HVqp3ms,Verb qal perfect third person masculine singular,shelter
חסה,H2620,HVqrmsa,Verb qal participle active masculine singular absolute,shelter
חסה,H2621,HNp,Noun proper name,Hosah
חסו,H2620,HVqv2mp,Verb qal imperative second person masculine plural,shelter
חסו,H2620,HVqp3cp,Verb qal perfect third person common plural,shelter
חסו,H2620,HVqq3cp,Verb qal sequential perfect third person common plural,shelter
חסור,H2637,HVqa,Verb qal infinitive absolute,be wanting
חסות,H2620,HVqc,Verb qal infinitive construct,shelter
חסות,H2622,HNcfsa,Noun common feminine singular absolute,sheltering
חסי,H2620,HVqrmpc,Verb qal participle active masculine plural construct,shelter
חסיד,H2623,HAamsc,Adjective adjective masculine singular construct,merciful
חסיד,H2623,HAamsa,Adjective adjective masculine singular absolute,merciful
חסיד,H2623,HAampc,Adjective adjective masculine plural construct,merciful
חסידה,H2624,HNcfsa,Noun common feminine singular absolute,chasidah
חסידי,H2623,HAampc,Adjective adjective masculine plural construct,merciful
חסידים,H2623,HAampa,Adjective adjective masculine plural absolute,merciful
חסיה,H2620,HVqp3fs,Verb qal perfect third person feminine singular,shelter
חסיו,H2620,HVqp3cp,Verb qal perfect third person common plural,shelter
חסיל,H2625,HNcmsa,Noun common masculine singular absolute,caterpillar
חסים,H2620,HVqrmpa,Verb qal participle active masculine plural absolute,shelter
חסין,H2626,HAamsa,Adjective adjective masculine singular absolute,strong
חסיר,H2627,AAamsa,Adjective adjective masculine singular absolute,wanting
חסיתי,H2620,HVqp1cs,Verb qal perfect first person common singular,shelter
חסמת,H2629,HVqrfsa,Verb qal participle active feminine singular absolute,muzzle
חסנ,H2632,ANcmsd,Noun common masculine singular determined,power
חסנ,H2632,ANcmsc,Noun common masculine singular construct,power
חסן,H2633,HNcmsa,Noun common masculine singular absolute,riches
חסן,H2633,HNcmsc,Noun common masculine singular construct,riches
חסן,H2634,HAamsa,Adjective adjective masculine singular absolute,strong
חסף,H2635,ANcmsa,Noun common masculine singular absolute,clay
חסף,H2635,ANcmsc,Noun common masculine singular construct,clay
חספ,H2635,ANcmsd,Noun common masculine singular determined,clay
חסר,H2638,HAamsc,Adjective adjective masculine singular construct,wanting
חסר,H2638,HAamsa,Adjective adjective masculine singular absolute,wanting
חסר,H2638,HVqp3ms,Verb qal perfect third person masculine singular,wanting
חסר,H2639,HNcmsa,Noun common masculine singular absolute,want
חסר,H2640,HNcmsc,Noun common masculine singular construct,want
חסרה,H2641,HNp,Noun proper name,Hasrah
חסרו,H2637,HVqp3cp,Verb qal perfect third person common plural,be wanting
חסרון,H2642,HNcmsa,Noun common masculine singular absolute,wanting
חסרנו,H2637,HVqp1cp,Verb qal perfect first person common plural,be wanting
חסרת,H2637,HVqp2ms,Verb qal perfect second person masculine singular,be wanting
חסת,H2347,HVqp2ms,Verb qal perfect second person masculine singular,respect
חף,H2643,HAamsa,Adjective adjective masculine singular absolute,innocent
חפה,H2645,HVpp3ms,Verb piel perfect third person masculine singular,ceil
חפה,H2646,HNcfsa,Noun common feminine singular absolute,haven
חפה,H2647,HNp,Noun proper name,Huppah
חפו,H2645,HVqp3cp,Verb qal perfect third person common plural,ceil
חפוי,H2645,HVqsmsa,Verb qal participle passive masculine singular absolute,ceil
חפוי,H2645,HVqsmsc,Verb qal participle passive masculine singular construct,ceil
חפז,H2648,HVqc,Verb qal infinitive construct,hurry
חפזון,H2649,HNcmsa,Noun common masculine singular absolute,hurry
חפים,H2650,HNp,Noun proper name,Huppim
חפם,H2650,HNp,Noun proper name,Huppim
חפני,H2651,HNcmdc,Noun common masculine dual construct,fists
חפני,H2652,HNp,Noun proper name,Hophni
חפנים,H2651,HNcmda,Noun common masculine dual absolute,fists
חפף,H2653,HVqrmsa,Verb qal participle active masculine singular absolute,havening
חפץ,H2654,HVqp3ms,Verb qal perfect third person masculine singular,be pleased
חפץ,H2654,HVqa,Verb qal infinitive absolute,be pleased
חפץ,H2655,HAamsa,Adjective adjective masculine singular absolute,pleased
חפץ,H2655,HAamsc,Adjective adjective masculine singular construct,pleased
חפץ,H2656,HNcmsa,Noun common masculine singular absolute,pleasure
חפץ,H2656,HNcmsc,Noun common masculine singular construct,pleasure
חפצ,H2656,HNcmsc,Noun common masculine singular construct,pleasure
חפצה,H2654,HVqp3fs,Verb qal perfect third person feminine singular,be pleased
חפצה,H2655,HAafsa,Adjective adjective feminine singular absolute,pleased
חפצי,H2655,HAampc,Adjective adjective masculine plural construct,pleased
חפצי,H2656,HAampc,Adjective adjective masculine plural construct,pleasure
חפצי,H2656,HNcmpc,Noun common masculine plural construct,pleasure
חפצי,H2657,HNp,Noun proper name,Hephzi-bah
חפצים,H2655,HAampa,Adjective adjective masculine plural absolute,pleased
חפצים,H2656,HNcmpa,Noun common masculine plural absolute,pleasure
חפצנו,H2654,HVqp1cp,Verb qal perfect first person common plural,be pleased
חפצת,H2654,HVqp2ms,Verb qal perfect second person masculine singular,be pleased
חפצתי,H2654,HVqp1cs,Verb qal perfect first person common singular,be pleased
חפצתם,H2654,HVqp2mp,Verb qal perfect second person masculine plural,be pleased
חפר,H1662,HNp,Noun proper name,Gath-kephr
חפר,H2658,HVqc,Verb qal infinitive construct,dig
חפר,H2658,HVqp3ms,Verb qal perfect third person masculine singular,dig
חפר,H2658,HVqrmsa,Verb qal participle active masculine singular absolute,dig
חפר,H2660,HNp,Noun proper name,Hepher
חפר,H2661,HVqc,Verb qal infinitive construct,[phrase] mole
חפרה,H2659,HVqq3fs,Verb qal sequential perfect third person feminine singular,be ashamed
חפרה,H2659,HVqp3fs,Verb qal perfect third person feminine singular,be ashamed
חפרו,H2658,HVqp3cp,Verb qal perfect third person common plural,dig
חפרו,H2659,HVqp3cp,Verb qal perfect third person common plural,be ashamed
חפרו,H2659,HVqq3cp,Verb qal sequential perfect third person common plural,be ashamed
חפרי,H2662,HNgmsa,Noun gentilic masculine singular absolute,Hepherites
חפרים,H2663,HNp,Noun proper name,Haphraim
חפרע,H6548,HNp,Noun proper name,Pharaoh-hophra
חפרת,H2658,HVqq2ms,Verb qal sequential perfect second person masculine singular,dig
חפרתה,H2658,HVqq2ms,Verb qal sequential perfect second person masculine singular,dig
חפרתי,H2658,HVqp1cs,Verb qal perfect first person common singular,dig
חפש,H2664,HVqrmsa,Verb qal participle active masculine singular absolute,search
חפש,H2665,HNcmsa,Noun common masculine singular absolute,search
חפש,H2667,HNcmsa,Noun common masculine singular absolute,freedom
חפשה,H2666,HVPp3fs,Verb pual perfect third person feminine singular,be freed
חפשה,H2668,HNcfsa,Noun common feminine singular absolute,freedom
חפשו,H2664,HVpp3cp,Verb piel perfect third person common plural,search
חפשו,H2664,HVpv2mp,Verb piel imperative second person masculine plural,search
חפשות,H2669,HNcfsa,Noun common feminine singular absolute,free
חפשי,H2670,HAamsa,Adjective adjective masculine singular absolute,free
חפשים,H2670,HAampa,Adjective adjective masculine plural absolute,free
חפשית,H2669,HNcfsa,Noun common feminine singular absolute,free
חפשתי,H2664,HVpp1cs,Verb piel perfect first person common singular,search
חפת,H2646,HNcfsc,Noun common feminine singular construct,haven
חצ,H2351,HNcmsa,Noun common masculine singular absolute,outside
חצ,H2671,HNcmpc,Noun common masculine plural construct,arrow
חצ,H2671,HNcmsc,Noun common masculine singular construct,arrow
חץ,H2671,HNcmsc,Noun common masculine singular construct,arrow
חץ,H2671,HNcmsa,Noun common masculine singular absolute,arrow
חצב,H2672,HVqrmsa,Verb qal participle active masculine singular absolute,making hewn
חצב,H2672,HVqp3ms,Verb qal perfect third person masculine singular,making hewn
חצב,H2672,HVqc,Verb qal infinitive construct,making hewn
חצבה,H2672,HVqp3fs,Verb qal perfect third person feminine singular,making hewn
חצבי,H2672,HVqrmpc,Verb qal participle active masculine plural construct,making hewn
חצבי,H2672,HVqrmsc,Verb qal participle active masculine singular construct,making hewn
חצבים,H2672,HVqrmpa,Verb qal participle active masculine plural absolute,making hewn
חצבת,H2672,HVqp2ms,Verb qal perfect second person masculine singular,making hewn
חצבתי,H2672,HVqp1cs,Verb qal perfect first person common singular,making hewn
חצבתם,H2672,HVPp2mp,Verb pual perfect second person masculine plural,making hewn
חצה,H2673,HVqp3ms,Verb qal perfect third person masculine singular,halve
חצו,H2673,HVqq3cp,Verb qal sequential perfect third person common plural,halve
חצוב,H2672,HVqc,Verb qal infinitive construct,making hewn
חצובים,H2672,HVqsmpa,Verb qal participle passive masculine plural absolute,making hewn
חצונה,H2435,HAafsa,Adjective adjective feminine singular absolute,outer
חצוצרת,H2689,HNcfpc,Noun common feminine plural construct,trumpet
חצור,H1178,HNp,Noun proper name,Baal-hazor
חצור,H2674,HNp,Noun proper name,Hazor
חצור,H2675,HNp,Noun proper name,Hazor
חצור,H5877,HNp,Noun proper name,En-hazor
חצות,H2351,HNcmpc,Noun common masculine plural construct,outside
חצות,H2676,HNcfsc,Noun common feminine singular construct,half
חצות,H7155,HNp,Noun proper name,Kirjath-huzoth
חצי,H2671,HNcmpc,Noun common masculine plural construct,arrow
חצי,H2677,HNcmsc,Noun common masculine singular construct,half
חצי,H2677,HNcmsa,Noun common masculine singular absolute,half
חצי,H2678,HNcmsa,Noun common masculine singular absolute,arrow
חצי,H2679,HNcmsc,Noun common masculine singular construct,half of the Manahethites
חצי,H2680,HNcmsc,Noun common masculine singular construct,half of the Manahethites
חצים,H2671,HNcmpa,Noun common masculine plural absolute,arrow
חצים,H2678,HNcmpa,Noun common masculine plural absolute,arrow
חציר,H2681,HNcmsa,Noun common masculine singular absolute,court
חציר,H2682,HNcmsa,Noun common masculine singular absolute,court-veg
חציר,H2682,HNcmsc,Noun common masculine singular construct,court-veg
חצית,H2673,HVqq2ms,Verb qal sequential perfect second person masculine singular,halve
חצנ,H2683,HNcmsc,Noun common masculine singular construct,bosom
חצנ,H2684,HNcmsc,Noun common masculine singular construct,arm
חצן,H2684,HNcmsa,Noun common masculine singular absolute,arm
חצנה,H2435,HAafsa,Adjective adjective feminine singular absolute,outer
חצץ,H2686,HVqrmsa,Verb qal participle active masculine singular absolute,arrowing
חצץ,H2687,HNcmsa,Noun common masculine singular absolute,arrow
חצצו,H2686,HVPp3cp,Verb pual perfect third person common plural,arrowing
חצצון,H2688,HNp,Noun proper name,Hazezon-tamar
חצצי,H2687,HNcmpc,Noun common masculine plural construct,arrow
חצצן,H2688,HNp,Noun proper name,Hazezon-tamar
חצצרה,H2689,HNcfsa,Noun common feminine singular absolute,trumpet
חצצרות,H2689,HNcfpa,Noun common feminine plural absolute,trumpet
חצצרות,H2689,HNcfpc,Noun common feminine plural construct,trumpet
חצצרת,H2689,HNcfpa,Noun common feminine plural absolute,trumpet
חצר,H2674,HNp,Noun proper name,Hazor
חצר,H2691,HNcbsc,Noun common both singular construct,court
חצר,H2691,HNcbsa,Noun common both singular absolute,court
חצר,H2691,HNcbpc,Noun common both plural construct,court
חצר,H2692,HNp,Noun proper name,Hazar-addar
חצר,H2693,HNp,Noun proper name,Hazar-gaddah
חצר,H2694,HNp,Noun proper name,Hazar-hatticon
חצר,H2701,HNp,Noun proper name,Hazar-susah
חצר,H2702,HNp,Noun proper name,Hazar-susim
חצר,H2703,HNp,Noun proper name,Hazar-enon
חצר,H2704,HNp,Noun proper name,Hazar-enan
חצר,H2705,HNp,Noun proper name,Hazar-shual
חצרו,H2695,HNp,Noun proper name,Hezro
חצרון,H2696,HNp,Noun proper name,Hezron
חצרוני,H2697,HNgmsa,Noun gentilic masculine singular absolute,Hezronites
חצרות,H2691,HNcbpc,Noun common both plural construct,court
חצרות,H2691,HNcbpa,Noun common both plural absolute,court
חצרות,H2698,HNp,Noun proper name,Hazeroth
חצרותי,H2691,HNcbpc,Noun common both plural construct,court
חצרי,H2691,HNcbpc,Noun common both plural construct,court
חצרים,H2691,HNcbpa,Noun common both plural absolute,court
חצרים,H2699,HNcmpa,Noun common masculine plural absolute,Hazerim
חצרמות,H2700,HNp,Noun proper name,Hazarmaveth
חצרן,H2696,HNp,Noun proper name,Hezron
חצרני,H2697,HNgmsa,Noun gentilic masculine singular absolute,Hezronites
חצרת,H2691,HNcbpa,Noun common both plural absolute,court
חצרת,H2698,HNp,Noun proper name,Hazeroth
חצרתי,H2691,HNcbpc,Noun common both plural construct,court
חצת,H2676,HNcfsc,Noun common feminine singular construct,half
חק,H2436,HNcmsc,Noun common masculine singular construct,bosom
חק,H2436,HNcmsa,Noun common masculine singular absolute,bosom
חק,H2706,HNcmsa,Noun common masculine singular absolute,decree
חק,H2706,HNcmsc,Noun common masculine singular construct,decree
חק,H2706,HNcmpc,Noun common masculine plural construct,decree
חק,H2710,HVqv2ms,Verb qal imperative second person masculine singular,decree
חקה,H2708,HNcbsa,Noun common both singular absolute,decree
חקופא,H2709,HNp,Noun proper name,Hakupha
חקור,H2713,HVqc,Verb qal infinitive construct,investigate
חקות,H2708,HNcbpc,Noun common both plural construct,decree
חקות,H2710,HVqq2ms,Verb qal sequential perfect second person masculine singular,decree
חקי,H2706,HNcmpc,Noun common masculine plural construct,decree
חקי,H2708,HNcbpc,Noun common both plural construct,decree
חקים,H2706,HNcmpa,Noun common masculine plural absolute,decree
חקקי,H2710,HVqrmsc,Verb qal participle active masculine singular construct,decree
חקקי,H2711,HNcmpc,Noun common masculine plural construct,decree
חקקים,H2710,HVqrmpa,Verb qal participle active masculine plural absolute,decree
חקקים,H2710,HVqsmpa,Verb qal participle passive masculine plural absolute,decree
חקר,H2713,HVqc,Verb qal infinitive construct,investigate
חקר,H2713,HVqp3ms,Verb qal perfect third person masculine singular,investigate
חקר,H2713,HVqv2ms,Verb qal imperative second person masculine singular,investigate
חקר,H2713,HVpp3ms,Verb piel perfect third person masculine singular,investigate
חקר,H2713,HVqrmsa,Verb qal participle active masculine singular absolute,investigate
חקר,H2714,HNcmsa,Noun common masculine singular absolute,investigating
חקר,H2714,HNcmsc,Noun common masculine singular construct,investigating
חקרו,H2713,HVqv2mp,Verb qal imperative second person masculine plural,investigate
חקרי,H2714,HNcmpc,Noun common masculine plural construct,investigating
חקרנו,H2713,HVqp1cp,Verb qal perfect first person common plural,investigate
חקרת,H2713,HVqq2ms,Verb qal sequential perfect second person masculine singular,investigate
חקרת,H2713,HVqp2ms,Verb qal perfect second person masculine singular,investigate
חקת,H2708,HNcbsc,Noun common both singular construct,decree
חקת,H2708,HNcbpc,Noun common both plural construct,decree
חקתי,H2708,HNcbpc,Noun common both plural construct,decree
חקתי,H2710,HVqp1cs,Verb qal perfect first person common singular,decree
חר,H2352,HNcmsc,Noun common masculine singular construct,hole
חר,H2356,HNcmsa,Noun common masculine singular absolute,cave
חר,H2735,HNp,Noun proper name,Hor-hagidgad
חראי,H2716,HNcmpc,Noun common masculine plural construct,dung Also חֲרִי
חרב,H2717,HVqa,Verb qal infinitive absolute,be dried up
חרב,H2717,HVqv2ms,Verb qal imperative second person masculine singular,be dried up
חרב,H2719,HNcfsa,Noun common feminine singular absolute,sword
חרב,H2719,HNcfsc,Noun common feminine singular construct,sword
חרב,H2720,HAamsa,Adjective adjective masculine singular absolute,dried up
חרב,H2721,HNcmsa,Noun common masculine singular absolute,dried up
חרב,H2722,HNp,Noun proper name,Horeb
חרבה,H2717,HAafsa,Adjective adjective feminine singular absolute,be dried up
חרבה,H2720,HAafsa,Adjective adjective feminine singular absolute,dried up
חרבה,H2723,HNcfsa,Noun common feminine singular absolute,dried up
חרבה,H2724,HNcfsa,Noun common feminine singular absolute,dried up
חרבו,H2717,HVqp3cp,Verb qal perfect third person common plural,be dried up
חרבו,H2717,HVPp3cp,Verb pual perfect third person common plural,be dried up
חרבו,H2717,HVqq3cp,Verb qal sequential perfect third person common plural,be dried up
חרבו,H2717,HVqv2mp,Verb qal imperative second person masculine plural,be dried up
חרבונא,H2726,HNp,Noun proper name,Harbona
חרבונה,H2726,HNp,Noun proper name,Harbona
חרבות,H2719,HNcfpc,Noun common feminine plural construct,sword
חרבות,H2719,HNcfpa,Noun common feminine plural absolute,sword
חרבות,H2720,HAafpa,Adjective adjective feminine plural absolute,dried up
חרבות,H2723,HNcfpa,Noun common feminine plural absolute,dried up
חרבות,H2723,HNcfpc,Noun common feminine plural construct,dried up
חרבותי,H2719,HNcfpc,Noun common feminine plural construct,sword
חרבותי,H2723,HNcfpc,Noun common feminine plural construct,dried up
חרבי,H2717,HVqv2fs,Verb qal imperative second person feminine singular,be dried up
חרבני,H2725,HNcmpc,Noun common masculine plural construct,dried ups
חרבתי,H2719,HNcfpc,Noun common feminine plural construct,sword
חרבתי,H2723,HNcfpc,Noun common feminine plural construct,dried up
חרגל,H2728,HNcmsa,Noun common masculine singular absolute,chargol
חרד,H2729,HVqp3ms,Verb qal perfect third person masculine singular,be anxious
חרד,H2730,HAamsa,Adjective adjective masculine singular absolute,anxious
חרד,H5878,HNp,Noun proper name,well of Harod
חרדה,H2729,HVqp3fs,Verb qal perfect third person feminine singular,be anxious
חרדה,H2731,HNcfsa,Noun common feminine singular absolute,anxiety
חרדה,H2732,HNp,Noun proper name,Haradah
חרדו,H2729,HVqp3cp,Verb qal perfect third person common plural,be anxious
חרדו,H2729,HVqv2mp,Verb qal imperative second person masculine plural,be anxious
חרדו,H2729,HVqq3cp,Verb qal sequential perfect third person common plural,be anxious
חרדות,H2731,HNcfpa,Noun common feminine plural absolute,anxiety
חרדי,H2733,HNgmsa,Noun gentilic masculine singular absolute,Harodite
חרדים,H2730,HAampa,Adjective adjective masculine plural absolute,anxious
חרדת,H2729,HVqp2fs,Verb qal perfect second person feminine singular,be anxious
חרדת,H2731,HNcfsc,Noun common feminine singular construct,anxiety
חרה,H2734,HVqp3ms,Verb qal perfect third person masculine singular,inflame
חרה,H2734,HVqq3ms,Verb qal sequential perfect third person masculine singular,inflame
חרה,H2734,HVqa,Verb qal infinitive absolute,inflame
חרה,H2787,HVqp3fs,Verb qal perfect third person feminine singular,be scorched
חרה,H2787,HVqq3fs,Verb qal sequential perfect third person feminine singular,be scorched
חרהיה,H2736,HNp,Noun proper name,Harhaiah
חרו,H2787,HVqp3cp,Verb qal perfect third person common plural,be scorched
חרוזים,H2737,HNcmpa,Noun common masculine plural absolute,chain
חרול,H2738,HNcmsa,Noun common masculine singular absolute,nettle
חרומף,H2739,HNp,Noun proper name,Harumaph
חרון,H1032,HNp,Noun proper name,Beth-horon
חרון,H2740,HNcmsc,Noun common masculine singular construct,inflaming
חרון,H2740,HNcmsa,Noun common masculine singular absolute,inflaming
חרונ,H2740,HNcmsc,Noun common masculine singular construct,inflaming
חרוני,H2740,HNcmpc,Noun common masculine plural construct,inflaming
חרונים,H2773,HNp,Noun proper name,Horonaim
חרוץ,H2742,HNcmsa,Noun common masculine singular absolute,incision
חרוץ,H2742,HAamsa,Adjective adjective masculine singular absolute,incision
חרוץ,H2742,HNp,Noun proper name,incision
חרוץ,H2743,HNp,Noun proper name,Haruz
חרוץ,H2782,HVqsmsa,Verb qal participle passive masculine singular absolute,incision
חרוצים,H2742,HAampa,Adjective adjective masculine plural absolute,incision
חרוצים,H2782,HVqsmpa,Verb qal participle passive masculine plural absolute,incision
חרושה,H2790,HVqsfsa,Verb qal participle passive feminine singular absolute,be silent
חרות,H2734,HVqc,Verb qal infinitive construct,inflame
חרות,H2801,HVqsmsa,Verb qal participle passive masculine singular absolute,inflamed
חרחור,H2744,HNp,Noun proper name,Harhur
חרחס,H2745,HNp,Noun proper name,Harhas
חרחר,H2746,HNcmsa,Noun common masculine singular absolute,scorcher
חרחר,H2787,HVlc,Verb pilpel infinitive construct,be scorched
חרט,H2747,HNcmsa,Noun common masculine singular absolute,scriber
חרט,H2747,HNcmsc,Noun common masculine singular construct,scriber
חרטים,H2754,HNcmpa,Noun common masculine plural absolute,bag
חרטם,H2749,ANcmsa,Noun common masculine singular absolute,magician
חרטמי,H2748,HNcmpc,Noun common masculine plural construct,scribes
חרטמי,H2749,ANcmpd,Noun common masculine plural determined,magician
חרטמים,H2748,HNcmpa,Noun common masculine plural absolute,scribes
חרטמין,H2749,ANcmpa,Noun common masculine plural absolute,magician
חרטמם,H2748,HNcmpa,Noun common masculine plural absolute,scribes
חרי,H2356,HNcmpc,Noun common masculine plural construct,cave
חרי,H2715,HNcmpc,Noun common masculine plural construct,noble
חרי,H2750,HNcmsc,Noun common masculine singular construct,flaming
חרי,H2751,HNcmsa,Noun common masculine singular absolute,blanched
חרי,H2752,HNgmsa,Noun gentilic masculine singular absolute,Horims
חרי,H2753,HNp,Noun proper name,Hori
חרי,H2753,HNgmsa,Noun gentilic masculine singular absolute,Hori
חרי,H2755,HNcmsc,Noun common masculine singular construct,doves' dung
חרי,H2755,HNcmpc,Noun common masculine plural construct,doves' dung
חריטים,H2754,HNcmpa,Noun common masculine plural absolute,bag
חרים,H2356,HNcmpa,Noun common masculine plural absolute,cave
חרים,H2715,HNcmpa,Noun common masculine plural absolute,noble
חרים,H2752,HNgmpa,Noun gentilic masculine plural absolute,Horims
חריף,H2756,HNp,Noun proper name,Hariph
חריפי,H2741,HNgmsa,Noun gentilic masculine singular absolute,Haruphite
חריצי,H2757,HNcmpc,Noun common masculine plural construct,incisors
חריש,H2758,HNcmsa,Noun common masculine singular absolute,ploughing
חריש,H2758,HNcmsc,Noun common masculine singular construct,ploughing
חרישית,H2759,HAafsa,Adjective adjective feminine singular absolute,ploughed
חרכים,H2762,HNcmpa,Noun common masculine plural absolute,lattice
חרלים,H2738,HNcmpa,Noun common masculine plural absolute,nettle
חרם,H2763,HVqsmsa,Verb qal participle passive masculine singular absolute,being excised
